Id,Target
ID_2f6873615,4
ID_1c78846d2,2
ID_e5442cf6a,4
ID_a8db26a79,4
ID_a62966799,4
ID_e77d38d45,4
ID_3c5f4bd51,4
ID_a849c29bd,4
ID_472fa82da,4
ID_24864adcc,4
ID_247909995,4
ID_fbe8d0909,4
ID_8ed30c46a,4
ID_c8809fe15,4
ID_b726eb052,4
ID_3533dffe1,4
ID_67a331b9f,4
ID_67c4a6bb6,4
ID_8228c6a2e,4
ID_d54f1a82e,4
ID_a39d40b54,4
ID_748724edb,4
ID_8be4c9bbf,4
ID_7bade887b,4
ID_13f752d2b,4
ID_a9bff86ae,3
ID_04d3ee180,4
ID_47e48cb8f,4
ID_1615bc9ef,4
ID_3bb0b62f1,4
ID_033b1af6b,4
ID_454a8860e,4
ID_d83fd7394,4
ID_34d7d842b,4
ID_bc1b347a1,4
ID_ffa0e547e,2
ID_f8771a8ae,4
ID_801cbc30a,4
ID_61e44b7cf,4
ID_67c0283d8,1
ID_3feb0af61,4
ID_2d2185057,4
ID_0c471f8b5,4
ID_57de763e0,4
ID_d8a14957e,4
ID_242ee59d9,4
ID_e94e78175,4
ID_6017c9e65,4
ID_88714eeac,4
ID_bc1bc9d9f,4
ID_345e5b63c,4
ID_022e75d71,4
ID_7f93c60c3,4
ID_b53f40f79,4
ID_05c88e71d,4
ID_7beeca5ba,4
ID_5fbc29474,4
ID_79a87456c,4
ID_af55d9543,4
ID_bbc1ad33a,4
ID_c852377bb,4
ID_6aef2dec8,4
ID_3b12fa86d,4
ID_00fda5e47,1
ID_ed35fd190,4
ID_080eaa35f,4
ID_bcfc06cdd,4
ID_fe81eee62,4
ID_ddffba00a,4
ID_89b5b851b,4
ID_bdfda8da1,4
ID_123301f4c,4
ID_29828e26e,4
ID_658cc1120,2
ID_98c115d86,4
ID_fecfead5a,4
ID_18cb33272,4
ID_a7b7a17de,4
ID_8960b70f2,4
ID_aa3a29419,2
ID_7cd0b9e95,4
ID_aaa973a36,3
ID_b23ad6454,4
ID_387a9c0aa,4
ID_800c93fd5,4
ID_18e6cbe8a,4
ID_cdbd8bbd2,4
ID_68f20801d,4
ID_f51779227,4
ID_d53ede57c,4
ID_2ecee8834,4
ID_a2d461a29,2
ID_8d3bbd4bb,4
ID_bf6ff191b,4
ID_9159f91d2,4
ID_f92242495,4
ID_662b76faf,4
ID_49ff6ed83,4
ID_ead55f601,4
ID_d142a3ec2,2
ID_f9bdd5d7a,4
ID_22d230420,4
ID_2b1ba44b9,4
ID_48768e373,2
ID_55566da63,4
ID_69293b74d,4
ID_4cfb2e5f9,4
ID_7d841c89c,4
ID_87a354f8e,4
ID_6e2009b57,3
ID_0ee3b258f,4
ID_e284ad0b6,4
ID_2f2f17e1c,4
ID_f197ca00d,4
ID_707dbd527,4
ID_a29af464d,4
ID_07f07ae29,4
ID_d4bc1c8ce,3
ID_1c636c4eb,4
ID_cf7c703cc,4
ID_d90d4af6c,4
ID_21920b864,1
ID_42ba25860,4
ID_13ec903af,4
ID_d67b59f4c,4
ID_01da96a6a,3
ID_1dc03f342,4
ID_06b6a301b,4
ID_324a2d2af,4
ID_859041389,2
ID_46365724f,4
ID_e44b0b7c5,4
ID_558305941,4
ID_7103c71b8,4
ID_6e8703883,4
ID_aa1d709e1,4
ID_52e661cfc,4
ID_a96d3d9ce,4
ID_6481705cd,4
ID_df8bc4ee9,4
ID_558ce6fcb,4
ID_86d348313,4
ID_860211f0a,4
ID_9ab328698,4
ID_9064a33eb,4
ID_b236938eb,4
ID_612559efe,1
ID_0f4d3b214,4
ID_867d9fb37,4
ID_8dc260f41,4
